name,reason,comments
联建光电, 财务造假,联建光电
海正药业, 财务造假,海正药业
北大荒, 财务造假,北大荒
汇洁股份, 董事长内幕交易，监管部门公开谴责,汇洁股份
嘉寓股份, 财务造假，监管部门公开谴责,嘉寓股份
大智慧, 利润跨期调整,大智慧
亚太实业, 虚增收入,亚太实业
佳电股份, 财务造假,佳电股份
力帆股份, 虚增利润，大股东质押85%，主业亏损，2017年利润由房地产价值变动支撑,力帆股份
明牌珠宝, 跨行业并购失败，毛利润很低,明牌珠宝
尔康制药, 财务造假,尔康制药
风华高科, 财务造假，立案调查,风华高科
三维丝, 财务猫腻，年报无法表示意见,三维丝
星辉娱乐, 乱搞并购，虚增利润,星辉娱乐
中海油服, 16年大幅资产减值，净利暴跌114亿，现金流持续下滑,中海油服
神火股份, 16年大幅资产减值，净利暴跌10亿,神火股份
安源煤业, 16年大幅资产减值，净利暴跌20亿,安源煤业
st一重, 16年大幅资产减值，净利暴跌57亿,st一重
郑州煤电, 16年大幅资产减值，净利暴跌5亿,郑州煤电
华锐风电, 寅吃卯粮，提前确认收入，16年大幅资产减值，净利暴跌24亿,华锐风电
纳思达, 16年跨国并购，年年并购巨额商誉,纳思达
粤传媒, 并购对象造假破产,粤传媒
新日恒力, 经营现金流持续为负，并购不利，商誉巨额减值,新日恒力
三泰控股, 并购不利，商誉巨额减值，现金流持续为负，苟延残喘,三泰控股
益佰制药, 商誉虚值该减不减,益佰制药
兰石重装, 无优质资产，经营现金流非常差，靠融资续命,兰石重装
罗普金斯, 铝型材的生产销售，行业竞争加剧，上市八年主营无增长，连续三年扣非净利润亏损，经营现金流持续为负,罗普金斯
天翔环境, 近年负债率持续攀升，高负债经营，亏损严重，现金流严重不足，控股股东存在非经营性资金占用，到期债务未能偿还,天翔环境
众应互联, 商誉占比总资产超60%,众应互联
天际股份, 商誉占比总资产超60%,天际股份
巴士在线, 商誉占比总资产超60%,巴士在线
高升控股, 商誉占比总资产超60%，大股东全部质押，质押套现20亿用于偿还债务,高升控股
天神娱乐, 商誉66亿，占比总资产超60%，现金流很差,天神娱乐
百花村, 商誉占比总资产超60%,百花村
帝龙文化, 商誉占比总资产超60%,帝龙文化
天润数娱, 商誉占比总资产超60%,天润数娱
天夏智慧, 商誉占比总资产超60%,天夏智慧
艾格拉斯, 商誉占比总资产超60%,艾格拉斯
星普医科, 商誉占比总资产超60%,星普医科
富春股份, 商誉占比总资产超60%,富春股份
中昌数据, 商誉占比总资产超60%,中昌数据
华铁股份, 商誉占比总资产超60%,华铁股份
st紫学, 商誉占比净资产超100%,st紫学
凯瑞德, 商誉占比净资产超100%,凯瑞德
长城动漫, 商誉占比净资产超100%,长城动漫
国美通讯, 商誉占比净资产超100%,国美通讯
南京新百, 商誉占比净资产超100%,南京新百
长城影视, 商誉占比净资产超100%,长城影视
仁东控股, 商誉占比净资产超100%,仁东控股
誉衡药业, 商誉占比净资产超100%，36亿减值风险，控股股东质押爆仓，十大股东一半信托，研发人数下降，研发资本化率上升,誉衡药业
炼石有色, 商誉占比净资产超100%,炼石有色
维格娜丝, 商誉占比净资产超100%,维格娜丝
东山精密, 商誉不断增大，利润不断下滑,东山精密
长园集团, 商誉不断增大，利润不断下滑,长园集团
华能国际, 商誉不断增大，利润不断下滑,华能国际
冠福股份, 商誉不断增大，利润不断下滑，隐瞒高利贷，关联担保输送利益，减持套现9亿，上市第四年开始扣非净利润连续7年为负，以转型为主业,冠福股份
海航科技, 商誉在增加，大股东减持5%以上,海航科技
均胜电子, 商誉在增加，大股东减持5%以上,均胜电子
大名城, 商誉在增加，大股东减持5%以上,大名城
天舟文化, 商誉在增加，大股东减持5%以上,天舟文化
永泰能源, 商誉在增加，大股东减持5%以上,永泰能源
万里扬, 商誉在增加，大股东减持5%以上,万里扬
天海防务, 商誉在增加，大股东减持5%以上,天海防务
st中安, 商誉在增加，大股东减持5%以上,st中安
通鼎互联, 商誉在增加，大股东减持5%以上,通鼎互联
巨力索具, 各种减持，业绩下滑,巨力索具
天宇股份, 欧洲药管局称生产的药物含有致癌物,天宇股份
保千里, 财务造假，现金流一直为负,保千里
山东墨龙, 套路减持，财务造假，监管处罚,山东墨龙
中水渔业, 并购猫腻，巨额亏损,中水渔业
苏美达, 主业亏损，财务猫腻,苏美达
华北制药, 主业亏损，财务猫腻,华北制药
常山药业, 大股东套路减持,常山药业
三聚环保, 财务有问题，经营现金流为负,三聚环保
先河环保, 管理混乱，临汾环保事件，3500万收购零收入公司涉嫌利益输送,先河环保
中洲控股, 会计变更，利润虚增，大股东全部质押,中洲控股
郑煤机, 13年会计变更，调整应收账款计提比例，虚增利润,郑煤机
宏达矿业, 信托扎堆,宏达矿业
中安消, 提前变更计提比例，为16年储备大的净利润,中安消
鞍钢股份, 调整固定资产折旧，虚增利润几十亿,鞍钢股份
包钢股份, 调整固定资产折旧，虚增利润几十亿,包钢股份
鹏博士, 业绩增长疲软，大幅调减折旧，高管半年内集体减持,鹏博士
惠而浦, 重大会计差错，高管频繁调整,惠而浦
登云股份, 财务造假，监管处罚,登云股份
恒顺众昇, 财务造假，金额巨大，监管处罚,恒顺众昇
暴风集团, 公司经营持续失血，极度困难,暴风集团
江淮汽车, 有雷,江淮汽车
天润数娱, 重组有猫腻，进展逾期被监管通报,天润数娱
东山精密, 和暴风关联很大，巨额应收款,东山精密
胜利精密, 牛猫有过预警,胜利精密
猛狮科技, 主业持续下滑，信托贷款违约，反复业绩修正，控股股东全部质押，控股股东资不抵债，所持股份被轮候冻结；,猛狮科技
鞍重股份, 地处辽宁，虚增收入，忽悠式重组,鞍重股份
南纺股份, 南京国企，出口退税，虚增利润,南纺股份
天业股份, 无法审计，立案调查，质押违约，担保违规，借款纠纷,天业股份
中科云网, 违规确认收入,中科云网
太化股份, 山西国企，虚构贸易，虚增收入，年年亏损,太化股份
振隆特产, 存货异常，第三方回款,振隆特产
步森股份, 虚构银行存款，虚增资产,步森股份
华创阳安, 虚减银行存款，账外账,华创阳安
北大荒, 阴阳合同，存货跌价巨额计提,北大荒
