,name,reason,comments
0,300269.SZSE, 财务造假,联建光电
1,600267.SSE, 财务造假,海正药业
2,600598.SSE, 财务造假,北大荒
3,002763.SZSE, 董事长内幕交易，监管部门公开谴责,汇洁股份
4,300117.SZSE, 财务造假，监管部门公开谴责,嘉寓股份
5,601519.SSE, 利润跨期调整,大智慧
6,000691.SZSE, 虚增收入,亚太实业
7,000922.SZSE, 财务造假,佳电股份
8,601777.SSE, 虚增利润，大股东质押85%，主业亏损，2017年利润由房地产价值变动支撑,力帆股份
9,002574.SZSE, 跨行业并购失败，毛利润很低,明牌珠宝
10,300267.SZSE, 财务造假,尔康制药
11,000636.SZSE, 财务造假，立案调查,风华高科
12,300056.SZSE, 财务猫腻，年报无法表示意见,三维丝
13,300043.SZSE, 乱搞并购，虚增利润,星辉娱乐
14,601808.SSE, 16年大幅资产减值，净利暴跌114亿，现金流持续下滑,中海油服
15,000933.SZSE, 16年大幅资产减值，净利暴跌10亿,神火股份
16,600397.SSE, 16年大幅资产减值，净利暴跌20亿,安源煤业
17,601106.SSE, 16年大幅资产减值，净利暴跌57亿,st一重
18,600121.SSE, 16年大幅资产减值，净利暴跌5亿,郑州煤电
19,601558.SSE, 寅吃卯粮，提前确认收入，16年大幅资产减值，净利暴跌24亿,华锐风电
20,002180.SZSE, 16年跨国并购，年年并购巨额商誉,纳思达
21,002181.SZSE, 并购对象造假破产,粤传媒
22,600165.SSE, 经营现金流持续为负，并购不利，商誉巨额减值,新日恒力
23,002312.SZSE, 并购不利，商誉巨额减值，现金流持续为负，苟延残喘,三泰控股
24,600594.SSE, 商誉虚值该减不减,益佰制药
25,603169.SSE, 无优质资产，经营现金流非常差，靠融资续命,兰石重装
26,罗普金斯, 铝型材的生产销售，行业竞争加剧，上市八年主营无增长，连续三年扣非净利润亏损，经营现金流持续为负,罗普金斯
27,300362.SZSE, 近年负债率持续攀升，高负债经营，亏损严重，现金流严重不足，控股股东存在非经营性资金占用，到期债务未能偿还,天翔环境
28,002464.SZSE, 商誉占比总资产超60%,众应互联
29,002759.SZSE, 商誉占比总资产超60%,天际股份
30,002188.SZSE, 商誉占比总资产超60%,巴士在线
31,000971.SZSE, 商誉占比总资产超60%，大股东全部质押，质押套现20亿用于偿还债务,高升控股
32,002354.SZSE, 商誉66亿，占比总资产超60%，现金流很差,天神娱乐
33,600721.SSE, 商誉占比总资产超60%,百花村
34,002247.SZSE, 商誉占比总资产超60%,帝龙文化
35,002113.SZSE, 商誉占比总资产超60%,天润数娱
36,000662.SZSE, 商誉占比总资产超60%,天夏智慧
37,002619.SZSE, 商誉占比总资产超60%,艾格拉斯
38,300143.SZSE, 商誉占比总资产超60%,星普医科
39,300299.SZSE, 商誉占比总资产超60%,富春股份
40,600242.SSE, 商誉占比总资产超60%,中昌数据
41,000976.SZSE, 商誉占比总资产超60%,华铁股份
42,000526.SZSE, 商誉占比净资产超100%,st紫学
43,002072.SZSE, 商誉占比净资产超100%,凯瑞德
